what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1403796772025
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1403796779188
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403796810087
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403796811112
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403796813017
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403796813119
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403796992430
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403796993939
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403796994269
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403797024704
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1403797024721
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403797032740
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403797088890
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1403797088917
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1403797090956
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1403797103229
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403797122360
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403797123362
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403797123642
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403797198142
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403797454115
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403797455811
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403797455933
